Date,T_BILL_3_MO,SP_FINANCE,SP_ENEGY,SP_MATERIALS,SP_CONSUM_DIS,SP_CONSUM_STAPLE,SP_HEALTH,SP_UTIL,SP_500,SP_INFO_TECH,SP_TELE_COMM
19991130,0.05150000095367432,-0.05150000095367432,-0.05150000095367432,-0.05150000095367432,-0.05150000095367432,-0.05150000095367432,-0.05150000095367432,-0.05150000095367432,-0.06493906850130722,-0.05154833072922286,-0.05150000095367432
19991231,0.05170000076293945,-0.05170000076293945,-0.05170000076293945,-0.05170000076293945,-0.05170000076293945,-0.05170000076293945,-0.05170000076293945,-0.05170000076293945,-0.04843600123239257,-0.0517483033795126,-0.05170000076293945
20000131,0.055300002098083494,-0.055300002098083494,-0.055300002098083494,-0.055300002098083494,-0.055300002098083494,-0.055300002098083494,-0.055300002098083494,-0.055300002098083494,-0.03008243512369523,-0.05534831272460354,-0.055300002098083494
20000229,0.056399998664855955,-0.056399998664855955,-0.056399998664855955,-0.056399998664855955,-0.056399998664855955,-0.056399998664855955,-0.056399998664855955,-0.056399998664855955,-0.042772911797304754,-0.05644833962824518,-0.056399998664855955
20000331,0.0571999979019165,-0.0571999979019165,-0.0571999979019165,-0.0571999979019165,-0.0571999979019165,-0.0571999979019165,-0.0571999979019165,-0.0571999979019165,-0.05003569350750188,-0.05724833545945967,-0.0571999979019165
20000430,0.056500000953674315,-0.056500000953674315,-0.056500000953674315,-0.056500000953674315,-0.056500000953674315,-0.056500000953674315,-0.056500000953674315,-0.056500000953674315,-0.06502605688826106,-0.056548320696835845,-0.056500000953674315
20000531,0.05489999771118164,-0.05489999771118164,-0.05489999771118164,-0.05489999771118164,-0.05489999771118164,-0.05489999771118164,-0.05489999771118164,-0.05489999771118164,-0.05619352566041335,-0.054948420134002474,-0.05489999771118164
20000630,0.05699999809265137,-0.05699999809265137,-0.05699999809265137,-0.05699999809265137,-0.05699999809265137,-0.05699999809265137,-0.05699999809265137,-0.05699999809265137,-0.04853490833641369,-0.05704835076338435,-0.05699999809265137
20000731,0.06019999980926514,-0.06019999980926514,-0.06019999980926514,-0.06019999980926514,-0.06019999980926514,-0.06019999980926514,-0.06019999980926514,-0.06019999980926514,-0.05249521895061623,-0.06024831320927559,-0.06019999980926514
20000831,0.061100001335144045,-0.061100001335144045,-0.061100001335144045,-0.061100001335144045,-0.061100001335144045,-0.061100001335144045,-0.061100001335144045,-0.061100001335144045,-0.051057282939652275,-0.061148374281970605,-0.061100001335144045
20000930,0.0603000020980835,-0.0603000020980835,-0.0603000020980835,-0.0603000020980835,-0.0603000020980835,-0.0603000020980835,-0.0603000020980835,-0.0603000020980835,-0.0752353227225574,-0.06034835065794447,-0.0603000020980835
20001031,0.06150000095367432,-0.06150000095367432,-0.06150000095367432,-0.06150000095367432,-0.06150000095367432,-0.06150000095367432,-0.06150000095367432,-0.06150000095367432,-0.03952182935859906,-0.06154824615443093,-0.06150000095367432
